alert_id,medicine_id,alert_date,note
260,M0413,2024-08-18,"Critical shortage, contact supplier"
261,M0175,2025-01-31,"Expiry near, limited supply remaining"
262,M0139,2024-01-30,Stock fully depleted
263,M0790,2023-12-18,"Stock running low, reorder advised"
264,M0670,2023-08-26,"Stock running low, reorder advised"
265,M0788,2024-04-07,"Critical shortage, contact supplier"
266,M0364,2024-08-04,"Stock critically low, immediate reorder needed"
267,M0706,2024-02-05,Stock below minimum level
268,M0960,2025-03-30,Less than 10 units remaining in store
269,M0266,2023-09-13,Seasonal demand spike expected
270,M0594,2024-10-29,Safety stock threshold breached
271,M0215,2024-09-17,Safety stock threshold breached
272,M0338,2024-10-03,Stock fully depleted
273,M0728,2024-08-04,Less than 10 units remaining in store
274,M0056,2024-04-18,"Reorder level reached, place order"
275,M0621,2024-12-21,"Reorder level reached, place order"
276,M0587,2024-03-15,Seasonal demand spike expected
277,M0519,2023-11-18,"Fast moving item, stock low"
278,M0520,2025-02-13,Reorder before expiry date approaches
279,M0945,2024-11-19,"Fast moving item, stock low"
280,M0338,2024-03-02,Stock fully depleted
281,M0817,2024-07-19,"Stock critically low, immediate reorder needed"
282,M0388,2024-05-03,Safety stock threshold breached
283,M0317,2023-08-12,"Stock running low, reorder advised"
284,M0694,2023-02-09,"Fast moving item, stock low"
285,M0862,2024-12-11,Reorder before expiry date approaches
286,M0059,2024-03-29,Stock fully depleted
287,M0687,2023-04-11,"Reorder level reached, place order"
288,M0704,2024-04-22,"Fast moving item, stock low"
289,M0981,2024-02-02,"Stock critically low, immediate reorder needed"
290,M0902,2024-12-03,Stock fully depleted
291,M0881,2023-07-17,Seasonal demand spike expected
292,M0674,2023-01-27,Stock fully depleted
293,M0642,2023-01-03,"Fast moving item, stock low"
294,M0521,2024-07-01,Reorder before expiry date approaches
295,M0398,2024-08-20,"Out of stock, urgent reorder required"
296,M0153,2023-07-15,Reorder before expiry date approaches
297,M0733,2024-12-29,Safety stock threshold breached
298,M0330,2023-10-17,Stock below minimum level
299,M0242,2023-07-13,"Expiry near, limited supply remaining"
300,M0596,2024-08-24,Emergency reorder due to demand spike
